iata,icao,airport,latitude,longitude
LYI,ZSLY,Linyi Shubuling Airport,35.0461,118.412
WUX,ZSWX,Sunan Shuofang International Airport,31.4944,120.429
WUT,ZBXZ,Xinzhou Wutaishan Airport,38.5975,112.969
WUS,ZSWY,Wuyishan Airport,27.7019,118.001
WUH,ZHHH,Wuhan Tianhe International Airport,30.7838,114.208
WUA,ZBUH,Wuhai Airport,39.7934,106.799
DOY,ZSDY,Dongying Shengli Airport,37.5086,118.788
DQA,ZYDQ,Daqing Sartu Airport,46.7464,125.141
WNZ,ZSWZ,Wenzhou Longwan International Airport,27.9122,120.852
DSN,ZBDS,Ordos Ejin Horo Airport,39.49,109.861
WNH,ZPWS,Wenshan Puzhehei Airport,23.5583,104.326
DTU,,Wudalianchi Airport,48.445,126.133
LZH,ZGZH,Liuzhou Bailian Airport,24.2075,109.391
LZO,ZULZ,Luzhou Yunlong Airport,29.03,105.47
WHA,ZSWA,Wuhu Airport,31.3906,118.409
WGN,ZGSY,Shaoyang Wugang Airport,26.802,110.642
LZY,ZUNZ,Nyingchi Mainling Airport,29.3033,94.3353
WEH,ZSWH,Weihai Dashuibo Airport,37.1871,122.229
WEF,ZSWF,Weifang Airport,36.6467,119.119
DYG,ZGDY,Zhangjiajie Hehua Airport,29.1028,110.443
WDS,ZHSY,Shiyan Wudangshan Airport,32.5917,110.908
DZU,ZUDZ,Dazu Air Base,29.6362,105.774
TEN,ZUTR,Tongren Fenghuang Airport,27.8833,109.309
TCZ,ZUTC,Tengchong Tuofeng Airport,24.9381,98.4858
TCG,ZWTC,Tacheng Airport,46.6725,83.3408
ENH,ZHES,Enshi Xujiaping Airport,30.3203,109.485
GHN,ZUGH,Guanghan Airport,30.9485,104.33
TAO,ZSQD,Qingdao Liuting International Airport,36.2661,120.374
TYN,ZBYN,Taiyuan Wusu International Airport,37.7469,112.628
SZX,ZGSZ,Shenzhen Bao'an International Airport,22.6393,113.811
SZV,ZSSZ,Suzhou Guangfu Airport,31.2631,120.401
SYX,ZJSY,Sanya Phoenix International Airport,18.3029,109.412
SYM,ZPSM,Pu'er Simao Airport,22.7933,100.959
GMQ,ZLGL,Golog Maqin Airport,34.4181,100.301
SXJ,ZWSS,Shanshan Airport,42.9117,90.2475
AOG,ZYAS,Anshan Teng'ao Airport,41.1053,122.854
TXN,ZSTX,Huangshan Tunxi International Airport,29.7333,118.256
SWA,ZGOW,Jieyang Chaoshan International Airport,23.552,116.503
GOQ,ZLGM,Golmud Airport,36.4006,94.7861
TVS,ZBTS,Tangshan Sannuhe Airport,39.7178,118.003
SQJ,,Sanming Shaxian Airport,26.4263,117.834
SQD,ZSSR,Shangrao Sanqingshan Airport,28.3797,117.964
UYN,ZLYL,Yulin Yuyang Airport,38.3597,109.591
GXH,ZLXH,Gannan Xiahe Airport,34.8105,102.645
URC,ZWWW,Urumqi Diwopu International Airport,43.9071,87.4742
GYS,ZUGU,Guangyuan Panlong Airport,32.3911,105.702
GYU,ZLGY,Guyuan Liupanshan Airport,36.0789,106.217
HAK,ZJHK,Haikou Meilan International Airport,19.9349,110.459
HCJ,ZGHC,Hechi Jinchengjiang Airport,24.805,107.7
HDG,ZBHD,Handan Airport,36.5258,114.426
HEK,ZYHE,Heihe Airport,50.1716,127.309
HET,ZBHH,Hohhot Baita International Airport,40.8514,111.824
AQG,ZSAQ,Anqing Tianzhushan Airport,30.5822,117.05
HFE,ZSOF,Hefei Xinqiao International Airport,31.78,117.298
HGH,ZSHC,Hangzhou Xiaoshan International Airport,30.2295,120.434
SJW,ZBSJ,Shijiazhuang Zhengding International Airport,38.2807,114.697
HIA,ZSSH,Huai'an Lianshui Airport,33.7908,119.125
HJJ,ZGCJ,Huaihua Zhijiang Airport,27.4411,109.7
SIA,ZLSN,Xi'an Xiguan Airport,34.3767,109.12
SHS,ZHSS,Shashi Airport,30.3243,112.28
HLD,ZBLA,Hulunbuir Hailar Airport,49.205,119.825
HLH,ZBUL,Ulanhot Airport,46.1953,122.008
SHF,ZWHZ,Shihezi Huayuan Airport,44.2421,85.8905
SHE,ZYTX,Shenyang Taoxian International Airport,41.6398,123.483
TSN,ZBTJ,Tianjin Binhai International Airport,39.1244,117.346
SHA,ZSSS,Shanghai Hongqiao International Airport,31.1979,121.336
HMI,ZWHM,Hami Airport (Kumul Airport),42.8414,93.6692
HNY,ZGHY,Hengyang Nanyue Airport,26.9053,112.628
HPG,ZHSN,Shennongjia Hongping Airport,31.626,110.34
HRB,ZYHB,Harbin Taiping International Airport,45.6234,126.25
HSC,,Shaoguan Guitou Airport,24.9786,113.421
HSJ,,Zhengzhou Shangjie Airport,34.8422,113.274
HSN,ZSZS,Zhoushan Putuoshan Airport,29.9342,122.362
HTN,ZWTN,Hotan Airport,37.0385,79.8649
HTT,,Huatugou Airport,38.202,90.8415
RUG,ZSRG,Rugao Air Base,32.2579,120.502
HUO,ZBHZ,Holingol Huolinhe Airport,45.4872,119.407
HUZ,ZGHZ,Huizhou Pingtan Airport,23.05,114.6
RQA,ZWRQ,Ruoqiang Loulan Airport,38.9747,88.0083
HXD,ZLDL,Delingha Airport,37.1253,97.2687
ENY,ZLYA,Yan'an Ershilipu Airport,36.6369,109.554
HYN,ZSLQ,Taizhou Luqiao Airport,28.5622,121.429
HZG,ZLHZ,Hanzhong Chenggu Airport,33.1341,107.206
HZH,ZUNP,Liping Airport,26.3222,109.15
MDG,ZYMD,Mudanjiang Hailang Airport,44.5241,129.569
RLK,ZBYZ,Bayannur Tianjitai Airport,40.926,107.743
RKZ,ZURK,Shigatse Peace Airport,29.3519,89.3114
RIZ,,Rizhao Shanzihe Airport,35.405,119.324
RHT,,Alxa Right Banner Badanjilin Airport,39.225,101.546
EJN,,Ejin Banner Taolai Airport,42.0155,101.001
INC,ZLIC,Yinchuan Hedong International Airport,38.3228,106.393
IQM,ZWCM,Qiemo Airport,38.2336,85.4656
IQN,ZLQY,Qingyang Airport,35.7997,107.603
QSZ,,Shache Airport,38.2811,77.0752
PZI,ZUZH,Panzhihua Bao'anying Airport,26.54,101.799
PVG,ZSPD,Shanghai Pudong International Airport,31.1434,121.805
JDZ,ZSJD,Jingdezhen Luojia Airport,29.3386,117.176
JGD,ZYJD,Jiagedaqi Airport,50.3714,124.118
JGN,ZLJQ,Jiayuguan Airport,39.8569,98.3414
JGS,ZSJA,Jinggangshan Airport,26.8569,114.737
AVA,ZUAS,Anshun Huangguoshu Airport,26.2606,105.873
JHG,ZPJH,Xishuangbanna Gasa Airport,21.9739,100.76
JIC,ZLJC,Jinchang Jinchuan Airport,38.5422,102.348
MIG,ZUMY,Mianyang Nanjiao Airport,31.4281,104.741
JIL,ZYJL,Jilin Ertaizi Airport,44.0022,126.396
JIQ,ZUQJ,Qianjiang Wulingshan Airport,29.5133,108.831
JIU,ZSJJ,Jiujiang Lushan Airport,29.4769,115.801
JJN,ZSQZ,Quanzhou Jinjiang International Airport,24.7964,118.59
JMU,ZYJM,Jiamusi Dongjiao Airport,46.8434,130.465
JNG,ZLJN,Jining Qufu Airport,35.2928,116.347
JNZ,ZYJZ,Jinzhou Bay Airport,41.1014,121.062
JSJ,ZYJS,Jiansanjiang Airport,47.11,132.66
JUH,,Chizhou Jiuhuashan Airport,30.7403,117.686
AXF,,Alxa Left Banner Bayanhot Airport,38.7483,105.589
JUZ,ZSJU,Quzhou Airport,28.9658,118.899
JXA,ZYJX,Jixi Xingkaihu Airport,45.293,131.193
JZH,ZUJZ,Jiuzhai Huanglong Airport,32.8533,103.682
PNJ,,Penglai Shahekou Airport,42.4464,119.574
TNH,ZYTN,Tonghua Sanyuanpu Airport,42.2539,125.703
KCA,ZWKC,Kuqa Qiuci Airport,41.6779,82.8729
TNA,ZSJN,Jinan Yaoqiang International Airport,36.8572,117.216
KGT,ZUKD,Kangding Airport,30.1575,101.735
FOC,ZSFZ,Fuzhou Changle International Airport,25.9351,119.663
KHG,ZWSH,Kashgar Airport (Kashi Airport),39.5429,76.02
KHN,ZSCN,Nanchang Changbei International Airport,28.865,115.9
KJH,,Kaili Huangping Airport,26.972,107.988
CQW,ZUWL,Chongqing Xiannyushan Airport,29.4658,107.692
DZH,ZUDA,Dazhou Jinya Airport,31.04,107.44
EHU,ZHEC,Ezhou Huahu Airport,30.3429,115.03
HBQ,ZLHB,Haibei Qilian Airport,38.012,100.644
HCZ,ZGCZ,Chenzhou Beihu Airport,25.7506,112.846
HZA,ZSHZ,Heze Mudan Airport,35.2133,115.737
WHA,ZSWA,Wuhu Xuanzhou Airport,31.1044,118.667
WSK,ZUWS,Chongqing Wushan Airport,31.064,109.706
XAI,ZHXY,Xinyang Minggang Airport,32.5414,114.078
YYA,ZGYY,Yueyang Sanhe Airport,29.314,113.278
HAY,SKAG,Hacaritama Airport,8.24722,-73.5819
MQR,,Mosquera Airport,2.64955,-78.3361
GRA,,Gamarra Airport,8.34197,-73.7057
SRO,,Santana Ramos Airport,2.21667,-75.25
IGO,SKIG,Jaime Ortiz Betancur Airport,7.68038,-76.6865
PCC,,Puerto Rico Airport,1.91667,-75.1667
BSC,SKBS,Jose Celestino Mutis Airport,6.20292,-77.3947
SJH,,San Juan del Cesar Airport,10.7667,-73.0167
DZI,,Codazzi Airport,10.0966,-73.2337
PRE,,Pore Airport,5.73333,-71.9833
MFB,,Monfort Airport,0.633333,-69.75
SJG,,San Pedro de Jagua Airport,4.65,-73.3333
TME,SKTM,Gabriel Vargas Santos Airport,6.45108,-71.7603
MND,,Medina Airport,4.51667,-73.2833
AYA,,Ayapel Airport,8.3,-75.15
MOY,,Monterrey Airport,4.90693,-72.8948
LQM,SKLG,Caucaya Airport,-0.182278,-74.7708
UNC,,Unguia Airport,8.03333,-77.0833
AYC,,Ayacucho Airport,8.6,-73.6167
ULS,,Mulatos Airport,8.65,-76.75
AYG,SKYA,Yaguara Airport,1.54417,-73.9333
SJR,,San Juan de Uraba Airport,8.76667,-76.5333
CPL,SKHA,General Navas Pardo Airport,3.717,-75.467
VAB,,Yavarate Airport,1.11667,-70.75
TBD,SKMB,Timbiqui Airport,2.767,-77.667
SMC,,Santa Maria Airport,8.15,-77.05
SOX,SKSO,Alberto Lleras Camargo Airport,5.67732,-72.9703
NPU,,San Pedro de Uraba Airport,8.28597,-76.3804
MFS,SKMF,Miraflores Airport,1.35,-71.9444
PLA,,Planadas Airport,3.3,-75.7
PLT,SKPL,Plato Airport,9.8,-74.7833
PLC,,Planeta Rica Airport,8.4,-75.6
MGN,SKMG,Baracoa Regional Airport,9.28474,-74.8461
TAU,SKTA,Tauramena Airport,5.01281,-72.7424
GPI,SKGP,Guapi Airport (Juan Casiano Airport),2.57013,-77.8986
SCA,,Santa Catalina Airport,8.5,-76.175
PEI,SKPE,Matecana International Airport,4.81267,-75.7395
NUH,,Nunchia Airport,5.65,-72.2
BGA,SKBG,Palonegro International Airport,7.1265,-73.1848
SQB,,Santa Ana Airport,4.40833,-75.0217
CVE,SKCV,Covenas Airport,9.40092,-75.6913
PYN,,Payan Airport,1.8,-78.1667
LRI,,Lorica Airport,9.03333,-75.7
NAD,,Macanal Airport,2.56667,-67.5833
ARF,,Acaricuara Airport,0.533333,-70.1333
SSD,SCSF,San Felipe Airport,-32.7458,-70.705
LMX,,Lopez de Micay Airport,3.05,-77.55
EYP,SKYP,El Alcaravan Airport,5.31911,-72.384
JUO,SKJU,Jurado Airport,6.51667,-76.6
ARO,,Arboletes Airport,8.85705,-76.4244
ACD,SKAD,Alcides Fernandez Airport,8.51667,-77.3
CUO,SKCR,Caruru Airport,1.0136,-71.2961
ACL,,Aguaclara Airport,4.75361,-73.0028
ACM,,Arica Airport (Colombia),-2.14544,-71.7581
MVP,SKMU,Fabio Alberto Leon Bentley Airport,1.25366,-70.2339
NVA,SKNV,Benito Salas Airport,2.95015,-75.294
ACR,SKAC,Araracuara Airport,-0.5833,-72.4083
CUI,,Curillo Airport,4.66667,-72
ELJ,SVWX,El Recreo Airport,2,-74.1333
ARQ,SKAT,El Troncal Airport,7.02106,-71.3889
URI,SKUB,Uribe Airport,3.21667,-74.4
TTM,,Tablon de Tamara Airport,5.72448,-72.103
ISD,,Iscuande Airport,2.44583,-77.9818
MCJ,SKLM,Jorge Isaacs Airport (La Mina Airport),11.2325,-72.4901
TRB,SKTU,Gonzalo Mejia Airport,8.07453,-76.7415
PYA,SKVL,Velasquez Airport,5.93904,-74.457
ECO,,El Encanto Airport,-1.75333,-73.2047
CAQ,SKCU,Juan H. White Airport,7.96847,-75.1985
ADN,SKAN,Andes Airport,5.69764,-75.8804
AZT,,Zapatoca Airport,6.81667,-73.2833
BHF,SKCP,Bahia Cupica Airport,6.55,-77.3263
BAC,,Barranca de Upia Airport,4.58333,-72.9667
ECR,SKEH,El Charco Airport,2.44944,-78.0942
PSO,SKPS,Antonio Narino Airport,1.39625,-77.2915
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112
VGZ,SKVG,Villa Garzon Airport,0.978767,-76.6056
TQS,SKTQ,Captain Ernesto Esguerra Cubides Air Base,0.7459,-75.234
PDA,SKPD,Obando Airport,3.85353,-67.9062
CQT,,Caquetania Airport,2.03333,-74.2167
CZU,SKCZ,Las Brujas Airport,9.33274,-75.2856
PZA,SKPZ,Paz de Ariporo Airport,5.87615,-71.8866
BOG,SKBO,El Dorado International Airport,4.70159,-74.1469
SQE,,San Luis de Palenque Airport,5.40018,-71.7001
SVI,SKSV,Eduardo Falla Solano Airport,2.15217,-74.7663
GIR,SKGI,Santiago Vila Airport,4.27624,-74.7967
BAQ,SKBQ,Ernesto Cortissoz International Airport,10.8896,-74.7808
OCV,SKOC,Aguas Claras Airport,8.31506,-73.3583
AFI,SKAM,Amalfi Airport (Colombia),6.91667,-75.0667
EJA,SKEJ,Yariguies Airport,7.02433,-73.8068
BUN,SKBU,Gerardo Tobar Lopez Airport,3.81963,-76.9898
MTR,SKMR,Los Garzones Airport,8.82374,-75.8258
CRC,SKGO,Santa Ana Airport,4.75818,-75.9557
MHF,,Morichal Airport,1.75,-69.9167
MDE,SKRG,Jose Maria Cordova International Airport,6.16454,-75.4231
COG,SKCD,Mandinga Airport,5.08333,-76.7
SMR,SKSM,Simon Bolivar International Airport,11.1196,-74.2306
RAV,SKCN,Cravo Norte Airport,6.31684,-70.2107
CTG,SKCG,Rafael Nunez International Airport,10.4424,-75.513
EUO,,Paratebueno Airport,4.38333,-73.2
MIX,,Miriti-Parana Airport,-1.13333,-70.25
RON,SKPA,Juan Jose Rondon,6.283,-71.083
HTZ,SKHC,Hato Corozal Airport,6.15,-71.75
RVE,SKSA,Los Colonizadores Airport,6.95187,-71.8572
CCO,SKCI,Carimagua Airport,4.56417,-71.3364
NQU,SKNQ,Reyes Murillo Airport,5.6964,-77.2806
PVA,SKPV,El Embrujo Airport,13.3569,-81.3583
MTB,SKML,Montelibano Airport,7.97174,-75.4325
AUC,SKUC,Santiago Perez  Quiroz Airport,7.06888,-70.7369
CSR,,Casuarito Airport,5.83333,-68.1333
LCR,,La Chorrera Airport,-0.733333,-73.0167
PPN,SKPP,Guillermo Leon Valencia Airport,2.4544,-76.6093
SSL,SKSL,Santa Rosalia Airport,5.1309,-70.8682
TCD,SKRA,Tarapaca Airport,-2.89472,-69.7472
RCH,SKRH,Almirante Padilla Airport,11.5262,-72.926
GMC,,Guerima Airport,3.62918,-70.3233
PAL,SKPQ,Captain German Olano Moreno Air Base,5.48361,-74.6574
TIB,SKTB,Tibu Airport,8.63152,-72.7304
IBE,SKIB,Perales Airport,4.42161,-75.1333
LET,SKLT,Alfredo Vasquez Cobo International Airport,-4.19355,-69.9432
PBE,SKPR,Morela Airport (Puerto Berrio Airport,6.46034,-74.4105
FLA,SKFL,Gustavo Artunduaga Paredes Airport,1.58919,-75.5644
HRR,,La Herrera Airport,3.21667,-75.85
GAA,,Guamal Airport,9.04465,-73.0973
SNT,SKRU,Las Cruces Airport,7.38322,-73.5054
IPI,SKIP,San Luis Airport,0.861925,-77.6718
LGT,SKGA,Las Gaviotas Airport,4.54972,-70.925
CPB,SKCA,Capurgana Airport,8.63333,-77.35
IVO,,Chibolo Airport,10.0167,-74.6833
URR,SKUR,Urrao Airport,6.32883,-76.1425
PCR,SKPC,German Olano Airport,6.18472,-67.4932
CJD,,Candilejas Airport,2.06667,-74.5833
TDA,SKTD,Trinidad Airport,5.43278,-71.6625
ULQ,SKUL,Heriberto Gil Martinez,4.08836,-76.2351
MQU,SKQU,Mariquita Airport,5.21256,-74.8836
CUC,SKCC,Camilo Daza International Airport,7.92757,-72.5115
AXM,SKAR,El Eden International Airport,4.45278,-75.7664
LPE,SKIM,La Primavera Airport,3.73333,-76.2167
UIB,SKUI,El Carano Airport,5.69076,-76.6412
EBG,SKEB,El Bagre Airport (El Tomin Airport),7.59647,-74.8089
CLO,SKCL,Alfonso Bonilla Aragon International Airport,3.54322,-76.3816
VUP,SKVP,Alfonso Lopez Pumarejo Airport,10.435,-73.2495
VVC,SKVV,La Vanguardia Airport,4.16787,-73.6138
NCI,SKNC,Antioquia Airport,8.45,-76.7833
LMC,SKNA,La Macarena Airport,2.1736,-73.7862
NBB,SKBM,Barranco Minas Airport,3.48333,-69.8
TLU,SKTL,Golfo de Morrosquillo Airport,9.50945,-75.5854
ORC,SKOE,Orocue Airport,4.79222,-71.3564
NAR,SKPN,Puerto Nare Airport,6.21002,-74.5906
AYI,,Yari Airport,-0.383333,-72.2667
MZL,SKMZ,La Nubia Airport (Santaguida Airport),5.0296,-75.4647
LPD,SKLP,La Pedrera Airport,-1.32861,-69.5797
TCO,SKCO,La Florida Airport,1.81442,-78.7492
GCA,,Guacamayas Airport,2.28333,-74.95
PUU,SKAS,Tres de Mayo Airport,0.505228,-76.5008
SRS,,San Marcos Airport,8.69,-75.156
CIM,SKCM,Cimitarra Airport,6.367,-73.967
EOH,SKMD,Olaya Herrera Airport,6.22055,-75.5906
SJE,SKSJ,Jorge Enrique Gonzalez Torres Airport,2.57969,-72.6394
PTX,SKPI,Contador Airport,1.85777,-76.0857
MMP,SKMP,San Bernardo Airport,9.79911,-74.786
OTU,SKOT,Otu Airport,7.01037,-74.7155
API,SKAP,Captain Luis F. Gomez Nino Air Base,4.07607,-73.5627
GGL,,Gilgal Airport,8.33333,-77.0833
APO,SKLC,Antonio Roldan  Betancourt Airport,7.81196,-76.7164
ELB,SKBC,Las Flores Airport,9.04554,-73.9749
CSC,MRMJ,Canas Mojica Airport,10.4307,-85.1746
RFR,MRRF,Rio Frio Airport,10.3274,-83.8876
TTQ,MRBT,Tortuguero Airport (Barra de Tortuguero Airport),10.42,-83.6095
SJO,MROC,Juan Santamaria International Airport,9.99386,-84.2088
LIO,MRLM,Limon International Airport,9.95796,-83.022
LIR,MRLB,Daniel Oduber Quiros International Airport,10.5933,-85.5444
XQP,MRQP,Quepos La Managua Airport,9.44316,-84.1298
PBP,MRIA,Punta Islita Airport,9.85611,-85.3708
LSL,MRLC,Los Chiles Airport,11.0353,-84.7061
JAP,MRCH,Chacarita Airport,9.98141,-84.7727
GLF,MRGF,Golfito Airport,8.65401,-83.1822
UPL,MRUP,Upala Airport,10.8922,-85.0162
GPL,MRGP,Guapiles Airport,10.2172,-83.797
PLD,MRCR,Carrillo Airport (Playa Samara/Carrillo Airport),9.87051,-85.4814
NCT,MRNC,Nicoya Guanacaste Airport,10.1394,-85.4458
BAI,MRBA,Buenos Aires Airport,9.16395,-83.3302
TMU,MRTR,Tambor Airport,9.73852,-85.0138
PMZ,MRPM,Palmar Sur Airport,8.95103,-83.4686
OTR,MRCC,Coto 47 Airport,8.60156,-82.9686
PJM,MRPJ,Puerto Jimenez Airport,8.53333,-83.3
TOO,MRSV,San Vito de Java Airport,8.82611,-82.9589
TNO,MRTM,Tamarindo Airport,10.3135,-85.8155
SYQ,MRPV,Tobias Bolanos International Airport,9.95705,-84.1398
NOB,MRNS,Nosara Airport,9.97649,-85.653
BCL,MRBC,Barra del Colorado Airport,10.7687,-83.5856
DRK,MRDK,Drake Bay Airport,8.71889,-83.6417
FON,MRAN,La Fortuna Airport,10.478,-84.6345
IPZ,MRSI,San Isidro de El General Airport,9.34861,-83.7125
BWW,MUBR,Las Brujas Airport,22.6213,-79.1472
GER,MUNG,Rafael Cabrera Mustelier Airport,21.8347,-82.7838
USS,MUSS,Sancti Spiritus Airport,21.9704,-79.4427
BCA,MUBA,Gustavo Rizo Airport,20.3653,-74.5062
CMW,MUCM,Ignacio Agramonte International Airport,21.4203,-77.8475
NBW,MUGM,Guantanamo Bay Naval Base,19.9065,-75.2071
SZJ,MUSN,Siguanea Airport,21.6425,-82.9551
VRO,MUKW,Kawama Airport,23.124,-81.3016
MOA,MUMO,Orestes Acosta Airport,20.6539,-74.9222
UMA,,Punta de Maisi Airport,20.2506,-74.1505
GAO,MUGT,Mariana Grajales Airport,20.0853,-75.1583
VRA,MUVR,Juan Gualberto Gomez Airport,23.0344,-81.4353
AVI,MUCA,Maximo Gomez  Airport,22.0271,-78.7896
BYM,MUBY,Carlos Manuel de Cespedes Airport,20.3964,-76.6214
SNU,MUSC,Abel Santamaria Airport,22.4922,-79.9436
CFG,MUCF,Jaime Gonzalez Airport,22.15,-80.4142
LCL,MULM,La Coloma Airport,22.3361,-83.6419
UPB,MUPB,Playa Baracoa Airport,23.0328,-82.5794
SNJ,MUSJ,San Julian Air Base,22.0953,-84.152
CCC,MUCC,Jardines del Rey Airport,22.461,-78.3284
TND,MUTD,Alberto Delgado Airport,21.7883,-79.9972
VTU,MUVT,Hermanos Ameijeiras Airport,20.9876,-76.9358
HAV,MUHA,Jose Marti International Airport,22.9892,-82.4091
SCU,MUCU,Antonio Maceo International Airport,19.9698,-75.8354
HOG,MUHG,Frank Pais Airport,20.7856,-76.3151
CYO,MUCL,Vilo Acuna Airport,21.6165,-81.546
MZO,MUMZ,Sierra Maestra Airport,20.2881,-77.0892
NTO,GVAN,Agostinho Neto Airport,17.2028,-25.0906
VXE,GVSV,Cesaria Evora Airport,16.8332,-25.0553
RAI,GVNP,Nelson Mandela International Airport,14.9245,-23.4935
MTI,GVMT,Mosteiros Airport,15.045,-24.3392
BVC,GVBA,Aristides Pereira International Airport (Rabil Airport),16.1365,-22.8889
BVR,GVBR,Esperadinha Airport,14.8643,-24.746
SID,GVAC,Amilcar Cabral International Airport,16.7414,-22.9494
MMO,GVMA,Maio Airport,15.1559,-23.2137
SFL,GVSF,Sao Filipe Airport,14.885,-24.48
SNE,GVSN,Preguica Airport,16.5884,-24.2847
CUR,TNCC,Curacao International Airport (Hato Int'l Airport),12.1889,-68.9598
XCH,YPXM,Christmas Island Airport,-10.4506,105.69
PFO,LCPH,Paphos International Airport,34.718,32.4857
LCA,LCLK,Larnaca International Airport,34.8751,33.6249
GEC,LCGK,Gecitkale Air Base,35.2359,33.7244
ECN,LCEN,Ercan International Airport,35.1547,33.4961
AKT,LCRA,RAF Akrotiri,34.5904,32.9879
PRV,LKPO,Prerov Airport,49.4258,17.4047
,LKCS,Ceske Budejovice Airport (Plana Airport),48.9464,14.4275
PED,LKPD,Pardubice Airport,50.0134,15.7386
UHE,LKKU,Kunovice Airport,49.0294,17.4397
GTW,LKHO,Holesov Airport,49.3144,17.5689
ZBE,LKZA,Zabreh Airport,49.9283,18.0783
OSR,LKMT,Leos Janacek Airport,49.6963,18.1111
PRG,LKPR,Vaclav Havel Airport Prague,50.1008,14.26
BRQ,LKTB,Brno-Turany Airport,49.1513,16.6944
OLO,LKOL,Olomouc Airport (Neredin Airport),49.5878,17.2108
VOD,LKVO,Vodochody Airport,50.2166,14.3958
KLV,LKKV,Karlovy Vary Airport,50.203,12.915
MKA,LKMR,Marianske Lazne Airport,49.9228,12.7247
HDF,EDAH,Heringsdorf Airport,53.8787,14.1523
AAH,EDKA,Merzbruck Airport,50.8231,6.18639
NRN,EDLV,Weeze Airport (Niederrhein Airport),51.6024,6.14217
WIE,ETOU,Wiesbaden Army Airfield,50.0498,8.3254
DTM,EDLW,Dortmund Airport,51.5183,7.61224
HEI,EDXB,Heide-Busum Airport,54.1533,8.90167
PSH,EDXO,Sankt Peter-Ording Airport,54.3089,8.68694
TXL,EDDT,Berlin Tegel Airport,52.5597,13.2877
LBC,EDHL,Lubeck Airport,53.8054,10.7192
HGL,EDXH,Heligoland Airport (Dune Airport),54.1853,7.91583
HHN,EDFH,Frankfurt-Hahn Airport,49.9487,7.26389
EIB,EDGE,Eisenach-Kindel Airport,50.9916,10.4797
CGN,EDDK,Cologne Bonn Airport,50.8659,7.14274
FCN,ETMN,Nordholz Naval Airbase,53.7677,8.6585
ERF,EDDE,Erfurt-Weimar Airport,50.9798,10.9581
KZG,ETIN,Kitzingen Airport,49.7431,10.2006
NUE,EDDN,Nuremberg Airport,49.4987,11.0781
VAC,EDWU,Varrelbusch Airport,52.9083,8.04056
FDH,EDNY,Friedrichshafen Airport (Bodensee Airport),47.6713,9.51149
SGE,EDGS,Siegerland Airport,50.7077,8.08297
WVN,EDWI,JadeWeserAirport,53.5022,8.05222
ZQW,EDRZ,Zweibrucken Airport,49.2094,7.40056
HOQ,EDQM,Hof-Plauen Airport,50.2886,11.8564
LHA,EDTL,Flughafen Lahr (Lahr Airport),48.3693,7.82772
SCN,EDDR,Saarbrucken Airport,49.2146,7.10951
LGO,EDWL,Langeoog Airport,53.7425,7.49778
STR,EDDS,Stuttgart Airport,48.6899,9.22196
XFW,EDHI,Hamburg Finkenwerder Airport,53.5353,9.83556
GHF,ETEU,Giebelstadt Airport,49.6481,9.96639
MUC,EDDM,Munich Airport,48.3538,11.7861
OBF,EDMO,Oberpfaffenhofen Airport,48.0814,11.2831
LEJ,EDDP,Leipzig/Halle Airport,51.4239,12.2364
NOD,EDWS,Norddeich Airport,53.6331,7.19028
BER,EDDB,Berlin Brandenburg Airport,52.3514,13.4939
FEL,ETSF,Furstenfeldbruck Air Base,48.2056,11.2669
XLW,EDWD,Lemwerder Airport,53.1447,8.62444
NRD,EDWY,Norderney Airport,53.7069,7.23
AGB,EDMA,Augsburg Airport,48.4253,10.9317
BFE,EDLI,Bielefeld Airport,51.9647,8.54444
AGE,EDWG,Wangerooge Airport,53.7828,7.91389
JUI,EDWJ,Juist Airport,53.6811,7.05583
MGL,EDLN,Dusseldorf Monchengladbach Airport,51.2303,6.50444
OHR,EDXY,Wyk auf Fohr Airport,54.6844,8.52833
ZHZ,EDAQ,Halle-Oppin Airport,51.5527,12.054
FRZ,ETHF,Fritzlar Air Base,51.1146,9.286
RMS,ETAR,Ramstein Air Base,49.4369,7.60028
KSF,EDVK,Kassel Airport,51.4173,9.38497
FNB,ETNU,Neubrandenburg Airport,53.6022,13.306
SXF,EDDB,Berlin Schonefeld Airport,52.38,13.5225
RLG,ETNL,Rostock-Laage Airport,53.9182,12.2783
KOQ,EDCK,Kothen Airport,51.7211,11.9528
IES,EDAU,Riesa-Gohlis Airfield,51.2936,13.3561
FRA,EDDF,Frankfurt Airport,50.0333,8.57056
AOC,EDAC,Leipzig-Altenburg Airport,50.9819,12.5064
URD,EDQE,Burg Feuerstein Airport,49.7942,11.1336
IGS,ETSI,Ingolstadt Manching Airport,48.7157,11.534
BMK,EDWR,Borkum Airfield,53.5964,6.70917
FKB,EDSB,Karlsruhe/Baden-Baden Airport,48.7794,8.0805
BMR,EDWZ,Baltrum Airport,53.7247,7.37333
PAD,EDLP,Paderborn Lippstadt Airport,51.6141,8.61632
ILH,ETIK,Illesheim Army Airfield,49.4739,10.3881
BRE,EDDW,Bremen Airport,53.0475,8.78667
REB,EDAX,Rechlin-Larz Airfield,53.3064,12.7522
PEF,EDCP,Peenemunde Airfield,54.1578,13.7744
BBH,EDBH,Stralsund-Barth Airport,54.3383,12.7105
KEL,EDHK,Kiel Airport,54.3794,10.1453
